subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,0,0.000000,130.517111
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,1,0.071043,138.869679
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,2,0.142086,-34.276776
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,3,0.213129,76.935346
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,4,0.284172,-118.523911
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,5,0.355215,-103.328524
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_51.wav,0,False,4466,65,féminin,6,0.426259,-14.442096
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,0,0.000000,96.336182
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,1,0.071043,-104.561128
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,2,0.142086,-130.066913
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,3,0.213129,-24.308766
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,4,0.284172,40.127472
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,5,0.355215,49.388454
consent,0,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_50.wav,1,True,4466,65,féminin,6,0.426259,116.704022
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,0,0.000000,35.884214
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,1,0.071043,19.404831
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,2,0.142086,121.693264
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,3,0.213129,29.127429
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,4,0.284172,71.322417
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,5,0.355215,138.687922
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_81.wav,0,False,1883,65,féminin,6,0.426259,110.537915
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_99.wav,1,True,1883,65,féminin,0,0.000000,-67.009894
consent,1,0,2024-03-03T14:34:19.041Z,male_vraiment_flat_99.wav,1,True,1883,65,féminin,1,0.071043,-124.385437
