subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,0,0.000000,79.222174
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,1,0.071043,61.816109
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,2,0.142086,-111.712238
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,3,0.213129,96.584947
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,4,0.284172,-11.292098
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,5,0.355215,57.720124
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_84.wav,0,True,16483,52,masculin,6,0.426259,-122.021307
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,0,0.000000,80.055785
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,1,0.071043,117.831593
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,2,0.142086,-32.666549
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,3,0.213129,67.905321
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,4,0.284172,84.716683
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,5,0.355215,30.832945
Leu-Yo,0,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_78.wav,1,False,16483,52,masculin,6,0.426259,87.837740
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,0,0.000000,55.759121
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,1,0.071043,56.428420
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,2,0.142086,-58.759553
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,3,0.213129,-145.130290
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,4,0.284172,109.056087
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,5,0.355215,-133.281135
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_34.wav,0,True,7100,52,masculin,6,0.426259,-126.261912
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,0,0.000000,-132.910898
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,1,0.071043,-40.348113
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,2,0.142086,-144.469254
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,3,0.213129,-148.365603
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,4,0.284172,29.209812
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,5,0.355215,-68.789467
Leu-Yo,1,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_171.wav,1,False,7100,52,masculin,6,0.426259,116.539457
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,0,0.000000,14.171085
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,1,0.071043,-68.153896
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,2,0.142086,-24.679362
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,3,0.213129,-58.364866
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,4,0.284172,-35.694955
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,5,0.355215,-79.701050
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_82.wav,0,True,5565,52,masculin,6,0.426259,-70.571097
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_104.wav,1,False,5565,52,masculin,0,0.000000,-70.174686
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_104.wav,1,False,5565,52,masculin,1,0.071043,-64.753986
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_104.wav,1,False,5565,52,masculin,2,0.142086,-116.293490
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_104.wav,1,False,5565,52,masculin,3,0.213129,-63.059369
Leu-Yo,2,0,2024-03-04T07:18:47.193Z,male_vraiment_flat_104.wav,1,False,5565,52,masculin,4,0.284172,102.899256
