subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,0,0.000000,143.598511
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,1,0.071043,23.645136
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,2,0.142086,-118.740497
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,3,0.213129,-109.046436
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,4,0.284172,66.022521
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,5,0.355215,-13.059175
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_127.wav,0,False,1732,58,h,6,0.426259,22.700660
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,0,0.000000,21.342691
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,1,0.071043,-76.780347
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,2,0.142086,-127.843887
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,3,0.213129,-126.126744
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,4,0.284172,-33.722090
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,5,0.355215,18.600024
jeanmil,0,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_160.wav,1,True,1732,58,h,6,0.426259,-57.157597
jeanmil,1,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_25.wav,0,False,2675,58,h,0,0.000000,-129.422108
